"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Reported 1 st  case
USA,"142,735",+275,"2,489 ",+5,"4,562","135,684","2,970",431,8,Jan 20 
Italy,"97,689",0,"10,779 ",0,"13,030","73,880","3,906","1,616",178,Jan 29 
Spain,"80,110",0,"6,803 ",0,"14,709","58,598","4,165","1,713",146,Jan 30 
Germany,"62,435",0,541 ,0,"9,211","52,683","1,979",745,6,Jan 26 
France,"40,174",0,"2,606 ",0,"7,202","30,366","4,632",615,40,Jan 23 
Iran,"38,309",0,"2,640 ",0,"12,391","23,278","3,206",456,31,Feb 18 
UK,"19,522",0,"1,228 ",0,135,"18,159",163,288,18,Jan 30 
Switzerland,"14,829",0,300 ,0,"1,595","12,934",301,"1,713",35,Feb 24 
Netherlands,"10,866",0,771 ,0,250,"9,845",972,634,45,Feb 26 
Belgium,"10,836",0,431 ,0,"1,359","9,046",867,935,37,Feb 03 
S. Korea,"9,661",+78,158 ,+6,"5,228","4,275",59,188,3,Jan 19 
Turkey,"9,217",0,131 ,0,105,"8,981",568,109,2,Mar 09 
Austria,"8,867",+79,86 ,0,479,"8,302",187,985,10,Feb 24 
Canada,"6,320",0,65 ,0,573,"5,682",120,167,2,Jan 24 
Portugal,"5,962",0,119 ,0,43,"5,800",89,585,12,Mar 01 
Israel,"4,347",+100,15 ,0,134,"4,198",80,502,2,Feb 20 
Norway,"4,305",+21,26 ,0,7,"4,272",91,794,5,Feb 25 
Brazil,"4,256",0,136 ,0,6,"4,114",296,20,0.6,Feb 24 
Australia,"4,163",0,18 ,+1,244,"3,901",28,163,0.7,Jan 24 
Sweden,"3,700",0,110 ,0,16,"3,574",281,366,11,Jan 30 
Czechia,"2,837",+20,17 ,+1,11,"2,809",45,265,2,Feb 29 
Ireland,"2,615",0,46 ,0,5,"2,564",59,530,9,Feb 28 
Malaysia,"2,470",0,35  ,0,388,"2,047",73,76,1,Jan 24 
Denmark,"2,395",0,72 ,0,1,"2,322",113,413,12,Feb 26 
Chile,"2,139",0,7 ,0,75,"2,057",7,112,0.4,Mar 02 
Luxembourg,"1,950",0,21 ,0,40,"1,889",25,"3,115",34,Feb 28 
Ecuador,"1,924",0,58 ,0,3,"1,863",58,109,3,Feb 28 
Poland,"1,905",+43,26 ,+4,7,"1,872",3,50,0.7,Mar 03 
Japan,"1,866",0,54 ,0,424,"1,388",56,15,0.4,Jan 14 
Romania,"1,815",0,43 ,0,206,"1,566",31,94,2,Feb 25 
Pakistan,"1,625",+28,18 ,+4,29,"1,578",11,7,0.08,Feb 25 
Russia,"1,534",0,8 ,0,64,"1,462",8,11,0.05,Jan 30 
Thailand,"1,524",+136,7 ,0,229,"1,288",11,22,0.1,Jan 12 
Philippines,"1,418",0,71 ,0,42,"1,305",1,13,0.6,Jan 29 
Saudi Arabia,"1,299",0,8 ,0,66,"1,225",12,37,0.2,Mar 01 
Indonesia,"1,285",0,114 ,0,64,"1,107",0,5,0.4,Mar 01 
South Africa,"1,280",0,2 ,0,31,"1,247",7,22,0.03,Mar 04 
Finland,"1,240",0,11 ,0,10,"1,219",32,224,2,Jan 28 
Greece,"1,156",0,39 ,0,52,"1,065",66,111,4,Feb 25 
India,"1,071",+47,29 ,+2,100,942,0,0.8,0.02,Jan 29 
Iceland,"1,020",0,2 ,0,135,883,25,"2,989",6,Feb 27 
Mexico,993,+145,20 ,+4,35,938,1,8,0.2,Feb 27 
Panama,989,0,24 ,0,4,961,36,229,6,Mar 09 
Dominican Republic,859,0,39 ,0,3,817,0,79,4,Feb 29 
Peru,852,0,18 ,0,16,818,40,26,0.5,Mar 05 
Singapore,844,0,3 ,0,212,629,19,144,0.5,Jan 22 
Argentina,820,0,20 ,0,91,709,0,18,0.4,Mar 02 
Serbia,741,0,13 ,0,42,686,25,85,1,Mar 05 
Slovenia,730,0,11 ,0,10,709,23,351,5,Mar 03 
Estonia,715,+36,3 ,0,20,692,10,539,2,Feb 26 
Croatia,713,0,6 ,0,55,652,26,174,1,Feb 24 
Diamond Princess,712,0,10 ,0,603,99,15,0,0,Feb 04 
Colombia,702,0,10 ,0,10,682,29,14,0.2,Mar 05 
Hong Kong,642,0,4 ,0,118,520,5,86,0.5,Jan 22 
Qatar,634,0,1 ,0,48,585,6,220,0.3,Feb 28 
Egypt,609,0,40 ,0,132,437,0,6,0.4,Feb 13 
New Zealand,589,+75,1 ,0,63,525,2,122,0.2,Feb 27 
UAE,570,0,3 ,0,58,509,2,58,0.3,Jan 28 
Iraq,547,0,42 ,0,143,362,0,14,1,Feb 21 
Morocco,516,+37,27 ,+1,13,476,1,14,0.7,Mar 01 
Bahrain,515,+16,4 ,0,279,232,2,303,2,Feb 23 
Algeria,511,0,31 ,0,31,449,0,12,0.7,Feb 24 
Lithuania,484,+24,7 ,0,1,476,2,178,3,Feb 27 
Ukraine,475,0,10 ,0,6,459,0,11,0.2,Mar 02 
Hungary,447,+39,15 ,+2,34,398,6,46,2, Mar 03 
Lebanon,438,0,10 ,0,30,398,4,64,1,Feb 20 
Armenia,424,0,3 ,0,30,391,6,143,1,Feb 29 
Latvia,376,+29, ,0,1,375,3,199,0,Mar 01 
Bulgaria,354,+8,8 ,0,15,331,13,51,1,Mar 06 
Bosnia and Herzegovina,340,+17,6 ,0,8,326,1,104,2,Mar 04 
Andorra,334,0,6 ,0,6,322,10,"4,323",78,Mar 01 
Costa Rica,314,0,2 ,0,3,309,6,62,0.4,Mar 04 
Slovakia,314,0, ,0,2,312,1,58,0,Mar 05 
Tunisia,312,0,8 ,0,2,302,10,26,0.7,Mar 01 
Uruguay,304,0,1 ,0,0,303,9,88,0.3,Mar 12 
Taiwan,298,0,3 ,0,39,256,0,13,0.1,Jan 20 
Kazakhstan,293,+9,1 ,0,20,272,0,16,0.05,Mar 12 
Moldova,263,0,2 ,0,13,248,33,65,0.5,Mar 06 
North Macedonia,259,0,6 ,0,3,250,1,124,3,Feb 25 
Jordan,259,0,3 ,0,18,238,3,25,0.3,Mar 01 
Kuwait,255,0, ,0,67,188,12,60,0,Feb 23 
San Marino,224,0,22 ,0,6,196,16,"6,602",648,Feb 26 
Burkina Faso,222,0,12 ,0,23,187,0,11,0.6,Mar 08 
Cyprus,214,0,6 ,0,15,193,3,177,5,Mar 08 
Albania,212,0,10 ,0,33,169,3,74,3,Mar 07 
Azerbaijan,209,0,4 ,0,15,190,23,21,0.4,Feb 27 
Vietnam,194,0, ,0,52,142,3,2,0,Jan 22 
Réunion,183,0, ,0,1,182,0,204,0,Mar 10 
Oman,167,0, ,0,23,144,3,33,0,Feb 23 
Ivory Coast,165,0,1 ,0,4,160,0,6,0.04,Mar 10 
Faeroe Islands,159,0, ,0,70,89,1,"3,254",0,Mar 03 
Ghana,152,0,5 ,0,2,145,1,5,0.2,Mar 11 
Malta,151,0, ,0,2,149,4,342,0,Mar 06 
Uzbekistan,144,0,2 ,0,7,135,8,4,0.06,Mar 14 
Senegal,142,0, ,0,27,115,0,8,0,Mar 01 
Cameroon,139,0,6 ,0,5,128,0,5,0.2,Mar 05 
Cuba,139,0,3 ,0,4,132,2,12,0.3,Mar 10 
Honduras,139,+29,3 ,0,3,133,4,14,0.3,Mar 10 
Brunei ,126,0,1 ,0,34,91,1,288,2, Mar 08 
Afghanistan,120,0,4 ,0,2,114,0,3,0.1,Feb 23 
Sri Lanka,120,+3,1 ,0,11,108,5,6,0.05,Jan 26 
Venezuela,119,0,3 ,0,39,77,6,4,0.1,Mar 12 
Nigeria,111,0,1 ,0,3,107,0,0.5,0.00,Feb 27 
Mauritius,110,+3,3 ,0,0,107,1,86,2,Mar 17 
Palestine,109,0,1 ,0,18,90,0,21,0.2,Mar 04 
Channel Islands,108,0,2 ,0,0,106,0,621,12,Mar 08 
Guadeloupe,106,0,4 ,0,17,85,10,265,10,Mar 12 
Cambodia,103,0, ,0,21,82,1,6,0,Jan 26 
Georgia,98,+7, ,0,18,80,1,25,0,Feb 25 
Bolivia,96,+15,1 ,0,0,95,3,8,0.09,Mar 09 
Belarus,94,0, ,0,32,62,2,10,0,Feb 27 
Martinique,93,0,1 ,0,0,92,12,248,3,Mar 04 
Montenegro,91,+6,1 ,0,0,90,1,145,2,Mar 16 
Kyrgyzstan,84,0, ,0,0,84,0,13,0,Mar 17 
DRC,81,0,8  ,0,2,71,0,0.9,0.09,Mar 09 
Trinidad and Tobago,78,0,3 ,0,1,74,0,56,2,Mar 11 
Rwanda,70,0, ,0,0,70,0,5,0,Mar 13 
Gibraltar,65,0, ,0,14,51,0,"1,929",0,Mar 02 
Paraguay,64,+5,3 ,0,1,60,3,9,0.4,Mar 06 
Mayotte,63,0, ,0,0,63,0,231,0,Mar 13 
Liechtenstein,56,0, ,0,0,56,0,"1,469",0,Mar 02 
Aruba,50,0, ,0,1,49,0,468,0,Mar 12 
Bangladesh,49,+1,5 ,0,19,25,1,0.3,0.03,Mar 07 
Monaco,46,0,1 ,0,1,44,0,"1,172",25,Feb 27 
French Guiana,43,0, ,0,6,37,0,144,0,Mar 06 
Kenya,42,0,1 ,0,1,40,2,0.8,0.02,Mar 12 
Isle of Man,42,0, ,0,0,42,0,494,0,Mar 18 
Madagascar,39,0, ,0,0,39,0,1,0,Mar 19 
Macao,37,0, ,0,10,27,0,57,0,Jan 21 
Guatemala,34,0,1 ,0,10,23,1,2,0.06,Mar 12 
Barbados,33,0, ,0,0,33,0,115,0,Mar 16 
Uganda,33,0, ,0,0,33,0,0.7,0,Mar 20 
Jamaica,32,0,1 ,0,2,29,0,11,0.3,Mar 09 
Togo,30,+5,1 ,0,1,28,0,4,0.1,Mar 05 
El Salvador,30,+6, ,0,0,30,0,5,0,Mar 18 
French Polynesia,30,0, ,0,0,30,0,107,0,Mar 10 
Zambia,29,0, ,0,0,29,0,2,0,Mar 17 
Bermuda,22,0, ,0,2,20,0,353,0,Mar 17 
Ethiopia,21,0, ,0,1,20,0,0.2,0,Mar 12 
Congo,19,0, ,0,0,19,0,3,0,Mar 14 
Mali,18,0,1 ,0,0,17,0,0.9,0.05,Mar 24 
Niger,18,0,1 ,0,0,17,0,0.7,0.04,Mar 18 
Djibouti,18,0, ,0,0,18,0,18,0,Mar 17 
Maldives,17,0, ,0,13,4,0,31,0,Mar 06 
Guinea,16,0, ,0,0,16,0,1,0,Mar 12 
Haiti,15,0, ,0,1,14,0,1,0,Mar 19 
New Caledonia,15,0, ,0,0,15,0,53,0,Mar 17 
Bahamas,14,0, ,0,1,13,0,36,0,Mar 14 
Tanzania,14,0, ,0,1,13,0,0.2,0,Mar 15 
Cayman Islands,12,0,1 ,0,0,11,0,183,15,Mar 12 
Equatorial Guinea,12,0, ,0,0,12,0,9,0,Mar 13 
Eritrea,12,0, ,0,0,12,0,3,0,Mar 20 
Mongolia,12,0, ,0,2,10,0,4,0,Mar 09 
Dominica,11,0, ,0,0,11,0,153,0,Mar 21 
Namibia,11,0, ,0,2,9,0,4,0,Mar 13 
Saint Martin,11,0, ,0,0,11,0,284,0,Feb 29 
Greenland,10,0, ,0,2,8,0,176,0,Mar 15 
Myanmar,10,0, ,0,0,10,0,0.2,0,Mar 22 
Syria,9,0,1 ,0,0,8,0,0.5,0.06,Mar 21 
Grenada,9,0, ,0,0,9,0,80,0,Mar 21 
Saint Lucia,9,0, ,0,1,8,0,49,0,Mar 12 
Eswatini,9,0, ,0,0,9,0,8,0,Mar 13 
Curaçao,8,0,1 ,0,2,5,0,49,6,Mar 12 
Guyana,8,0,1 ,0,0,7,0,10,1,Mar 11 
Laos,8,0, ,0,0,8,0,1,0,Mar 23 
Libya,8,0, ,0,0,8,0,1,0,Mar 23 
Mozambique,8,0, ,0,0,8,0,0.3,0,Mar 21 
Seychelles,8,0, ,0,0,8,0,81,0,Mar 13 
Suriname,8,0, ,0,0,8,0,14,0,Mar 12 
Angola,7,0,2 ,0,0,5,0,0.2,0.06,Mar 19 
Gabon,7,0,1 ,0,0,6,0,3,0.4,Mar 12 
